"logFC" "logCPM" "F" "PValue" "FDR"
"HOXD4" 10.0606111841214 3.24619505519136 259.527545488659 8.57995779270127e-10 1.04577925055925e-05
"FABP7" -10.4189051142223 4.52225333452755 303.309459400016 9.12348310193459e-10 1.04577925055925e-05
"CACNG7" -7.45129054053617 5.14323632218201 201.296244240696 4.00795114519058e-09 2.33511579172594e-05
"HOXA9" 8.50210554489568 3.27425455833757 217.375586537573 4.07435688850763e-09 2.33511579172594e-05
"HOXA3" 9.95423088378367 3.08331297290133 170.648873830015 1.06419237225899e-08 4.87932202680747e-05
"TUNAR" -9.31779613202593 2.43774873538477 155.788580689785 1.62793689721918e-08 6.22007556145828e-05
"NEUROD2" -12.024311312036 4.96312632493149 103.082811445268 1.94638534729341e-08 6.37441201238591e-05
"ADCY8" -9.04750423284294 2.51446217644584 132.724926906939 2.23411306544755e-08 6.40213025317313e-05
"HOXA10" 9.08992918480632 3.82013071084512 215.218753957646 3.20401703847108e-08 7.69285664071394e-05
"VSNL1" -9.74506714478507 7.48058721698433 283.012155988831 3.645649581237e-08 7.69285664071394e-05
"PANX2" -7.53491927821246 4.59301359002054 276.532766402731 3.94404930450697e-08 7.69285664071394e-05
"OLIG2" -10.4991255688649 3.4615616631012 108.294326914708 4.03587007417968e-08 7.69285664071394e-05
"MMP2" 6.67156990359711 6.9912607255678 266.892576349189 4.36236145383996e-08 7.69285664071394e-05
"LOC107987266" -4.72101384261138 2.15027413259062 143.795561049839 4.79902040913993e-08 7.85839591996663e-05
"BEST3" -7.07870728353905 1.01220160360052 159.837657919146 5.36556588846448e-08 8.20037319953654e-05
"HOXA10-HOXA9" 8.33459377143547 3.10822374235276 122.602609261698 5.81805592366796e-08 8.3361832531305e-05
"NPM2" -6.13096259569678 3.8511302359261 243.097108010464 6.85111268813611e-08 9.2389269632659e-05
"ASIC2" -6.21370897693551 2.62786771753484 187.366978094654 8.02278724802352e-08 0.000102179109811633
"C11orf87" -9.34204639368614 3.15644912348636 94.5368344686834 8.55966196123547e-08 0.00010327907919017
"SCRT1" -8.48794195472979 4.96066872539997 228.572850730069 9.45456373061896e-08 0.00010837293676222
"PRR36" -6.97796881867566 5.22515410953431 217.860989030726 1.09109876192931e-07 0.000111298474324234
"SDR42E1" 6.35277327277088 1.7179735925187 123.178688225137 1.11470847307995e-07 0.000111298474324234
"HOXA7" 8.546732258888 2.15090114875146 121.84542160953 1.14499804998518e-07 0.000111298474324234
"SOX21" -8.8686622211739 1.85381400549995 79.6766233627349 1.16517486751652e-07 0.000111298474324234
"ATP2B2" -8.56603175285285 6.44261990181899 214.633689860862 1.22090871639091e-07 0.000111957329293046
"MIR124-2HG" -11.0711662594217 3.26185656043611 105.6210561412 1.47211012386151e-07 0.000129800479190481
"SYNPR" -9.97411818594516 4.8528999363249 98.8740377130609 1.75176934594124e-07 0.000140449101759599
"HOXB-AS3" 10.3155264678974 2.63236887573654 135.403862013679 1.81323681396692e-07 0.000140449101759599
"SLC12A5" -10.220326928359 6.21428915769355 193.732528930984 1.83733223343143e-07 0.000140449101759599
"GAD1" -9.96250243822091 4.53428307993099 160.517868489613 1.83793808191405e-07 0.000140449101759599
"NXPH1" -9.80627784575355 2.01395141484295 88.3774611078911 2.0307210523048e-07 0.000150175097174476
