"logFC" "logCPM" "F" "PValue" "FDR"
"FXYD2" -8.00590657284103 5.14785585553386 596.785578067302 1.02080785036981e-09 2.33961398653881e-05
"GATA4" -10.6259230939464 4.44866552785396 155.524182100576 3.31416634246071e-09 2.33961398653881e-05
"HOXA9" 8.96124371600699 3.27425455833757 220.726084921826 3.72985444936367e-09 2.33961398653881e-05
"MMP7" -8.91095734693533 3.02407840638262 161.196909157763 4.08220542907535e-09 2.33961398653881e-05
"PTF1A" -10.5491436975894 3.50020477381145 151.899978256051 1.89188379143746e-08 8.50914223572685e-05
"LOC112268127" -5.21781168850278 3.63655961429061 187.781256079183 2.22725957104159e-08 8.50914223572685e-05
"VTCN1" -10.5865906849016 2.769481681043 124.220589771483 2.59821136968759e-08 8.50914223572685e-05
"FAM3B" -8.93284235573339 4.96924616798512 255.566995638484 3.67441472009587e-08 0.000103730338976842
"HOXA10-HOXA9" 9.18169682887861 3.10822374235276 128.455460481277 4.4198088605522e-08 0.000103730338976842
"MUC15" -7.96694575516569 0.944163653445079 95.6010737430257 4.52476942101819e-08 0.000103730338976842
"GC" -9.00484631003713 2.81564738342328 98.2158753674628 6.70793939797436e-08 0.000127059390668068
"HOXA10" 7.94612297523211 3.82013071084512 185.019271652888 6.72453341152106e-08 0.000127059390668068
"CXCL17" -11.0331265670032 3.21175733706248 121.210934375075 7.20511266601911e-08 0.000127059390668068
"SERPINA5" -5.18785815927813 5.75184743112106 206.01094746464 1.00681732243113e-07 0.000164866336548098
"MAT1A" -7.48401982319678 3.64108867975759 140.343524414453 1.4817860346029e-07 0.000226466298955144
"SERPINA4" -13.3365251081366 5.52856804954017 191.888015687024 2.13998991550835e-07 0.000306620430081431
"KIRREL2" -10.9239035290534 5.46321362176733 145.956389074047 2.74497171337156e-07 0.00035605823307222
"INS" -15.4593014697261 8.8782325574224 141.903957065266 2.94252386927294e-07 0.00035605823307222
"LINC01754" -8.8855795945526 1.86773376788378 86.2281299856338 2.95097336024958e-07 0.00035605823307222
"SERPINI2" -11.7961595199269 6.97986848891223 159.665835596155 3.21470508492883e-07 0.000368485570359967
"GP2" -15.3278097269813 14.0010453786199 93.5103592853274 3.39423002239506e-07 0.000370536777444794
"GSTA2" -11.2694673912911 5.40110087478466 95.952675811334 3.5580883215555e-07 0.000370768976234817
"LANCL3" 6.77726301681751 1.56684006203811 108.48408845197 3.83599792731264e-07 0.000382348923841923
"EPO" -9.16716284359912 2.15407739582663 88.2500207321299 4.00356597209289e-07 0.00038242395795929
"SIM1" -8.00001114584914 0.970956529912948 115.676870849719 4.35525556273565e-07 0.000389846958508599
"AADAC" -9.0458448355889 3.61707337577667 99.9484783073828 4.42138317174419e-07 0.000389846958508599
"EVA1A" -6.64958108147891 3.18211379849324 137.869962658562 5.39115246091059e-07 0.000428827230939754
"LOC100506281" -14.6888351529517 9.94187099681597 131.075578753736 5.40015061815544e-07 0.000428827230939754
"HOXA10-AS" 7.76313537216283 2.63097950553718 80.3455164199373 5.42464108931423e-07 0.000428827230939754
"LOC107985317" -8.55336325371964 2.02995320538321 91.0370812990951 5.72899171690708e-07 0.000437790450366982
