"logFC" "logCPM" "F" "PValue" "FDR"
"CACNG7" -11.7456558268244 5.14323632218201 302.806248611345 3.43494267873011e-10 3.76599498767108e-06
"FXYD2" 9.40390387065279 5.14785585553386 710.077008888752 4.61597282310746e-10 3.76599498767108e-06
"LOC112268127" 9.64670884183891 3.63655961429061 379.218118796242 4.92823771560011e-10 3.76599498767108e-06
"FABP7" -9.61119136727678 4.52225333452755 273.139069208656 1.65302688214414e-09 7.11407215356288e-06
"LOC107987266" -8.14029722538856 2.15027413259062 255.717221019753 1.82839282400497e-09 7.11407215356288e-06
"SERPINA5" 10.2954776563599 5.75184743112106 491.519168517841 1.8619163760688e-09 7.11407215356288e-06
"GATA4" 11.4111358590831 4.44866552785396 160.913342535124 2.63343923700848e-09 7.9787635572483e-06
"MMP7" 9.93918768515221 3.02407840638262 170.907388731331 2.7843013504029e-09 7.9787635572483e-06
"SDR42E1" 7.6116264154882 1.7179735925187 169.597289922829 1.86709440865145e-08 4.75590436870382e-05
"MAT1A" 11.361536115768 3.64108867975759 195.003260487575 2.74366918973993e-08 5.29031199621952e-05
"FAM3B" 9.58085275069934 4.96924616798512 271.587531183891 2.78163557551032e-08 5.29031199621952e-05
"VSNL1" -10.268617988201 7.48058721698433 297.472217588831 2.92440481184338e-08 5.29031199621952e-05
"NEUROD2" -11.5117126560637 4.96312632493149 95.587308223323 3.31006256225533e-08 5.29031199621952e-05
"RIPK4" 8.35723783798097 3.80357094363956 253.392678208937 3.31612036790316e-08 5.29031199621952e-05
"ASIC2" -7.53288768077537 2.62786771753484 223.18224374309 3.46149094627231e-08 5.29031199621952e-05
"VTCN1" 9.19564800110896 2.769481681043 112.301579491025 4.8854308816341e-08 6.99897454315558e-05
"OLIG2" -10.8687884218222 3.4615616631012 103.71261819949 5.33059924779018e-08 6.99897454315558e-05
"GC" 9.71605325596898 2.81564738342328 101.291789571272 5.4953780491516e-08 6.99897454315558e-05
"ADCY8" -7.8458979315244 2.51446217644584 112.028843506576 6.32232806003431e-08 7.46500514170021e-05
"HOXD4" 6.61464890547521 3.24619505519136 124.899743818471 6.51254537989113e-08 7.46500514170021e-05
"GP2" 20.9543496395471 14.0010453786199 121.992526248081 7.48181823688663e-08 7.77531263743972e-05
"C1orf61" -12.4712962157196 6.75314087162441 148.240815265288 7.51700227230006e-08 7.77531263743972e-05
"MUC15" 7.35204961005024 0.944163653445079 88.1980565963857 7.80074986526122e-08 7.77531263743972e-05
"CXCL17" 10.9384864394631 3.21175733706248 118.552794006487 8.19225093966136e-08 7.82530636632236e-05
"DLGAP1" -11.0228684382081 5.33932031016714 143.802022070179 8.95203189152018e-08 8.209013244524e-05
"LGI1" -9.22511593348026 3.93738847307388 155.183304333023 1.02919123237139e-07 9.05803884536307e-05
"C11orf87" -9.71173803705463 3.15644912348636 91.3446541078199 1.06681373533175e-07 9.05803884536307e-05
"SYNPR" -11.4865165626805 4.8528999363249 105.140785873231 1.22139685453083e-07 0.000100001867464712
"ATP2B2" -8.53545644964984 6.44261990181899 211.742858805091 1.29568371168948e-07 0.000102426031346488
"LOC100130449" -5.46887517281833 -0.276758057962847 119.153061737719 1.36568431461934e-07 0.000104361043042161
"SCRT1" -7.8046371031529 4.96066872539997 204.148077236399 1.55060397637802e-07 0.000110403211404681
